worker	start	end	resume_start	pid	stdout	prefix	status
00	0	1793613	0	3042594	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker00.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker00	launched
01	1793613	3587226	1793613	3042596	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker01.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker01	launched
02	3587226	5380840	3587226	3042598	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker02.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker02	launched
03	5380840	7174453	5380840	3042600	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker03.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker03	launched
04	7174453	8968066	7174453	3042602	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker04.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker04	launched
05	8968066	10761680	8968066	3042604	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker05.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker05	launched
06	10761680	12555293	10761680	3042606	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker06.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker06	launched
07	12555293	14348907	12555293	3042608	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker07.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker07	launched
08	14348907	16142520	14348907	3042610	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker08.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker08	launched
09	16142520	17936133	16142520	3042612	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker09.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker09	launched
10	17936133	19729747	17936133	3042614	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker10.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker10	launched
11	19729747	21523360	19729747	3042616	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker11.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker11	launched
12	21523360	23316973	21523360	3042618	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker12.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker12	launched
13	23316973	25110587	23316973	3042620	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker13.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker13	launched
14	25110587	26904200	25110587	3042622	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker14.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker14	launched
15	26904200	28697814	26904200	3042624	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker15.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker15	launched
16	28697814	30491427	28697814	3042626	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker16.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker16	launched
17	30491427	32285040	30491427	3042628	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker17.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker17	launched
18	32285040	34078654	32285040	3042630	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker18.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker18	launched
19	34078654	35872267	34078654	3042632	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker19.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker19	launched
20	35872267	37665880	35872267	3042634	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker20.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker20	launched
21	37665880	39459494	37665880	3042636	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker21.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker21	launched
22	39459494	41253107	39459494	3042638	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker22.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker22	launched
23	41253107	43046721	41253107	3042640	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker23.out	/home/ahmed/coding_theory_sweeps/runs/gap9_USLMAX003/gap9_worker23	launched
